conversation_id,tweet_id,created_at,username,full_text,like_count,retweet_count,reply_count,is_quote_status,user_followers,lang
1.80E+18,1.80E+18,Fri Jun 14 15:22:27 +0000 2024,Bertemujodoh,@detikcom Ini PSI ya ?,0,0,0,0,0,in
1.80E+18,1.80E+18,Thu Jun 13 05:31:31 +0000 2024,p_widyanto,@detikcom Kasih...berapapun kasih..duit joko banyak,0,0,0,0,0,in
1.80E+18,1.80E+18,Wed Jun 12 23:11:02 +0000 2024,RizaPermadi1,"@detikcom Bakal jauh dr berhasil IKN..
Ujung2nya masuk Bui semua..",0,0,0,0,0,in
1.80E+18,1.80E+18,Wed Jun 12 06:01:44 +0000 2024,Imgsyln_,@detikcom https://t.co/csbMrgRH3S,0,0,0,0,0,qme
1.80E+18,1.80E+18,Wed Jun 12 05:43:08 +0000 2024,nntweetnn,@detikcom Tiga puluh Triliun? Pakai uangnya sendiri saja. Public menolak.,0,0,0,0,0,in
1.80E+18,1.80E+18,Wed Jun 12 04:39:49 +0000 2024,SuhariadiHarry,"@detikcom Bocah ingusan mimpin pembangunan IKN, paraaah. Ni",0,0,0,0,0,in
1.80E+18,1.80E+18,Wed Jun 12 04:23:14 +0000 2024,SyahlanR71315,"@detikcom Kemarin katanya sisa angaran buat IKN yg bersumber dari APBN tinggal 16 T, tiba² bocah ingusan minta tambah 29.8 T, uangnya dari mana yg 12.8T lagi, dari tunggu TAPERA?",0,0,0,0,0,in
1.80E+18,1.80E+18,Wed Jun 12 03:57:23 +0000 2024,SuriaB5,"@detikcom Manusia Hina, sangat menjijikan.",0,0,0,0,0,in
1.80E+18,1.80E+18,Wed Jun 12 03:44:10 +0000 2024,varietas73,"@detikcom Weleh2...kwmungkinan ngak akan beres, KPK lakukan pengawasan pada semua pejabat yang lagi ngurusin IKN, anggran besar banget",0,0,0,0,0,in
1.80E+18,1.80E+18,Wed Jun 12 03:14:14 +0000 2024,LokalPendaki,@detikcom Proyek bancakan nih.... Nambah utang jadi gak kari karuan,0,0,0,0,0,in
1.80E+18,1.80E+18,Wed Jun 12 03:03:09 +0000 2024,4benyaQiqin,"@detikcom Walaupun gak lolos parlemen tp kadernya dapat jatah maknyus, usaha tak khianati hasil. Bentar lagi mendominasi kementrian 👍🏻👍🏻👍🏻",0,0,0,0,0,in
1.80E+18,1.80E+18,Wed Jun 12 03:00:25 +0000 2024,rizki_ariesa,@detikcom Hancurrrrr,0,0,0,0,0,in
1.80E+18,1.80E+18,Wed Jun 12 01:43:33 +0000 2024,Del_tahta,@detikcom Palak lagi rakyat,0,0,0,0,0,in
1.80E+18,1.80E+18,Wed Jun 12 01:14:12 +0000 2024,bangbungwae,@detikcom Semua2 koq minta tambahan.. Woiii..gak mikir apa yak?..Pikirin itu utang NKRI sdh membludak.. Pikirin cara melunasinya.bukan malah efisiensi pengeluaran.. Klo cuman nambah hutang lagi.semua org bisa bro,0,0,0,0,0,in
1.80E+18,1.80E+18,Wed Jun 12 00:13:07 +0000 2024,Malindeman23,@detikcom Ooo ini plt nya😳😳😳,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 23:07:17 +0000 2024,Pegawai14,"@detikcom Muwakakakakak
Anggaran terooooooosssss",0,0,0,0,0,tl
1.80E+18,1.80E+18,Tue Jun 11 22:43:37 +0000 2024,Rawing1274,@detikcom Nyari jgn Mnta jul,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 22:17:49 +0000 2024,NowToegi,@detikcom Cah cilik muka boros ternyata juga mata duitan. Rambut ponimu mana Jul ?,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 22:14:38 +0000 2024,elisemom1,@detikcom Raine nggateli,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 22:03:34 +0000 2024,berkelana81,"@detikcom Rezim konoha bener2 kuras duit rakyat,dia enak2,an minta yang tanggung rakyat kecil",0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 19:23:47 +0000 2024,Slamet_24wiro,@detikcom Cuan maning....👍👍👍👍👍,0,0,0,0,0,es
1.80E+18,1.80E+18,Tue Jun 11 18:31:09 +0000 2024,rezpahlevi,"@detikcom Tenang, rakyat yg bayar sampe 7 turunan lu jul.",0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 18:18:32 +0000 2024,Alqadriwahyu14,"@detikcom Tukang ketoprak di angkat jadi camat,mana tahan boss,jaka sembung bawa golog....terusin artinya",0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 16:37:06 +0000 2024,Priyo__Muhammad,@detikcom Gerombolan otak pekok mengelola uang rakyat ya begini,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 15:36:34 +0000 2024,anfalsemangat,@detikcom Sumbernya dari APBN apa investor?.. sudah banyak investor masuk.. coba bukalah biar rakyat tahu,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 15:33:17 +0000 2024,StupidHusband87,@detikcom Ga kreatif,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 14:53:59 +0000 2024,arjainal21,@detikcom Yahh... lapar banget,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 14:41:19 +0000 2024,toxynuscaV2,"@detikcom Bukannya wakil &amp; kepala itu tugasnya nyari investor utk membiayai kerjaan di Ib-Kor-Nep? Lalu krn gagal, kepala sebelumnya diundurin?
Ini malah penggantinya langsung minta anggaran. Dah dari awal gak kompeten? Tapi ya mmg semua mereka spt itu, apa mau dikata",0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 14:19:51 +0000 2024,Anto32895488,@detikcom Anak kemarin sore bisa jdi wakil plt ikn wkkwkwkkkw negara ni miskin org profesional...sampah2 dipungut sruh urus negara anjing betul,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 14:10:06 +0000 2024,risnand59179688,@detikcom Orang model begini bisa apa?????,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 13:53:58 +0000 2024,sukalurah,"@detikcom kapasitasnya apa ya raja juli ini jadi plt wakil kepala. gimana mau ga telat, org2 nyari duit doang di pasang, yg terima gaji aja tanpa tau teknis dilapangan 😂🤣",0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 13:45:05 +0000 2024,mawardi21642,@detikcom 🤣🤣🤣  IKN rada2 akan macet ..🤣🤣,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 13:39:20 +0000 2024,24kataareddio,@detikcom Nenek gw jg bisa klo gt2an mah,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 13:31:42 +0000 2024,atmajasborneo,@detikcom Enak bener congor,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 12:34:45 +0000 2024,Samudra_Biru90,"@detikcom Ambisi proyek pribadi jokowi yang tidak jelas
.
padahal itu duit IKN bisa beli peralatan tempur:

12 mirage 2000-5 ex qatar
36 mirage 2000-6 ex uea
40 mirage 2000-9 ex yunani
40 F16 ex yunani
9 c130j super hercules ex inggris
100 tank harimau
2 fregat duke class ex inggris
.
.
.",0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 12:07:28 +0000 2024,AFHanin,"@detikcom Kasih. Besok tinggal bikin aturan paksa rakyat iuran lagi, santai aja. 
Gausah sungkan",0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 11:32:52 +0000 2024,H21J,"@detikcom Hutang lagi, tambah lagi....",0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 11:32:32 +0000 2024,SoewarnoBudi,@Dani97aza @detikcom Euweuh kasieun si bule...😂,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 11:24:25 +0000 2024,faisal_ded16773,@detikcom Duuh..kok wong iki...ajuur,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 11:23:38 +0000 2024,LMuhammadiy,"@detikcom Abisin aje bang!!?? 
Mumpung. masih menjabat, apalagi kerja bersama kroni aman, yg penting tau sama tau",0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 11:14:42 +0000 2024,aruninda,@aisamini @detikcom :'),0,0,0,0,0,qam
1.80E+18,1.80E+18,Tue Jun 11 11:10:54 +0000 2024,febaba,@detikcom Tambahh sampe muntah...*Gar*ngModus,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 11:06:27 +0000 2024,Herbert_Pa1000,@detikcom Darimana duitnya...🙄🙄🙄,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 10:57:24 +0000 2024,adypiliang,"@detikcom Ciri ciri penjilat, setelah mendapat jabatan dan kekuasaan, sudah tergoda dengan duit.
Karena : "" Kekuasaan menggoda untuk korupsi, kekuasaan mutlak pasti digunakan untuk Korupsi, walaupun kekuasaan itu masih PLT 😁😄""",0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 10:43:39 +0000 2024,RuddyChandra16,@detikcom Oala eloe oeang kau seenak jidat kau mau ditelep yah uang keringst rakyat baj***** bo***(,0,0,0,0,0,in
1.80E+18,1.80E+18,Tue Jun 11 10:05:13 +0000 2024,ummadiba,"@detikcom Tebak, duitnya darimana?",0,0,0,0,0,in
